Masa_Pertanggungan_Aktual,Masa_Pertanggungan_Prediksi
24 bulan,6.15
3 bulan,6.15
12 bulan,6.15
60 bulan,6.15
60 bulan,6.15
6 bulan,6.15
6 bulan,6.15
12 bulan,6.15
6 bulan,6.15
36 bulan,6.15
60 bulan,6.15
12 bulan,6.15
12 bulan,6.15
24 bulan,6.15
6 bulan,6.15
12 bulan,6.15
6 bulan,6.15
6 bulan,6.15
3 bulan,6.15
12 bulan,6.15
60 bulan,6.15
60 bulan,6.15
12 bulan,6.15
24 bulan,6.15
36 bulan,6.15
36 bulan,6.15
3 bulan,6.15
24 bulan,6.15
6 bulan,6.15
12 bulan,6.15
12 bulan,6.15
12 bulan,6.15
24 bulan,6.15
12 bulan,6.15
60 bulan,6.15
60 bulan,6.15
36 bulan,6.15
24 bulan,6.15
60 bulan,6.15
6 bulan,6.15
60 bulan,6.15
6 bulan,6.15
24 bulan,6.15
6 bulan,6.15
12 bulan,6.15
24 bulan,6.15
12 bulan,6.15
36 bulan,6.15
3 bulan,6.15
24 bulan,6.15
